country,location,lat,lon,year,sampleID,sampleNo,folder,picname
Iceland,Fljótavík,66.45,-22.91,1975,3,27,Iceland_Fljótavík_1975,ID3-27
Iceland,Fljótavík,66.45,-22.91,1975,3,28,Iceland_Fljótavík_1975,ID3-28
Iceland,Fljótavík,66.45,-22.91,1975,3,29,Iceland_Fljótavík_1975,ID3-29
Iceland,Fljótavík,66.45,-22.91,1975,3,30,Iceland_Fljótavík_1975,ID3-30
Iceland,Fljótavík,66.45,-22.91,1975,3,31,Iceland_Fljótavík_1975,ID3-31
Iceland,Fljótavík,66.45,-22.91,1975,3,32,Iceland_Fljótavík_1975,ID3-32
Iceland,Fljótavík,66.45,-22.91,1975,3,33,Iceland_Fljótavík_1975,ID3-33
Iceland,Fljótavík,66.45,-22.91,1975,3,34,Iceland_Fljótavík_1975,ID3-34
Iceland,Fljótavík,66.45,-22.91,1975,3,35,Iceland_Fljótavík_1975,ID3-35
Iceland,Fljótavík,66.45,-22.91,1975,3,36,Iceland_Fljótavík_1975,ID3-36
Iceland,Fljótavík,66.45,-22.91,1975,3,37,Iceland_Fljótavík_1975,ID3-37
Iceland,Fljótavík,66.45,-22.91,1975,3,38,Iceland_Fljótavík_1975,ID3-38
Iceland,Fljótavík,66.45,-22.91,1975,3,39,Iceland_Fljótavík_1975,ID3-39
Iceland,Fljótavík,66.45,-22.91,1975,3,40,Iceland_Fljótavík_1975,ID3-40
Iceland,Fljótavík,66.45,-22.91,1975,3,41,Iceland_Fljótavík_1975,ID3-41
Iceland,Fljótavík,66.45,-22.91,1975,3,42,Iceland_Fljótavík_1975,ID3-42
Iceland,Fljótavík,66.45,-22.91,1975,3,43,Iceland_Fljótavík_1975,ID3-43
Iceland,Fljótavík,66.45,-22.91,1975,3,44,Iceland_Fljótavík_1975,ID3-44
Iceland,Fljótavík,66.45,-22.91,1975,3,45,Iceland_Fljótavík_1975,ID3-45
Iceland,Fljótavík,66.45,-22.91,1975,3,46,Iceland_Fljótavík_1975,ID3-46
Iceland,Fljótavík,66.45,-22.91,1975,3,47,Iceland_Fljótavík_1975,ID3-47
Iceland,Fljótavík,66.45,-22.91,1975,3,48,Iceland_Fljótavík_1975,ID3-48
Iceland,Fljótavík,66.45,-22.91,1975,3,49,Iceland_Fljótavík_1975,ID3-49
Iceland,Fljótavík,66.45,-22.91,1975,3,50,Iceland_Fljótavík_1975,ID3-50
Iceland,Fljótavík,66.45,-22.91,1975,3,51,Iceland_Fljótavík_1975,ID3-51
Iceland,Fljótavík,66.45,-22.91,1975,3,52,Iceland_Fljótavík_1975,ID3-52
Iceland,Fljótavík,66.45,-22.91,1975,3,53,Iceland_Fljótavík_1975,ID3-53
Iceland,Fljótavík,66.45,-22.91,1975,3,54,Iceland_Fljótavík_1975,ID3-54
Iceland,Fljótavík,66.45,-22.91,1975,3,55,Iceland_Fljótavík_1975,ID3-55
Iceland,Fljótavík,66.45,-22.91,1975,3,56,Iceland_Fljótavík_1975,ID3-56
Iceland,Fljótavík,66.45,-22.91,1975,3,57,Iceland_Fljótavík_1975,ID3-57
Iceland,Fljótavík,66.45,-22.91,1975,3,58,Iceland_Fljótavík_1975,ID3-58
Iceland,Fljótavík,66.45,-22.91,1975,3,59,Iceland_Fljótavík_1975,ID3-59
Iceland,Fljótavík,66.45,-22.91,1975,3,60,Iceland_Fljótavík_1975,ID3-60
Iceland,Fljótavík,66.45,-22.91,1975,3,61,Iceland_Fljótavík_1975,ID3-61
Iceland,Fljótavík,66.45,-22.91,1975,3,62,Iceland_Fljótavík_1975,ID3-62
Iceland,Fljótavík,66.45,-22.91,1975,3,63,Iceland_Fljótavík_1975,ID3-63
Iceland,Fljótavík,66.45,-22.91,1975,3,64,Iceland_Fljótavík_1975,ID3-64
Iceland,Fljótavík,66.45,-22.91,1975,3,65,Iceland_Fljótavík_1975,ID3-65
Iceland,Fljótavík,66.45,-22.91,1975,3,66,Iceland_Fljótavík_1975,ID3-66
Iceland,Fljótavík,66.45,-22.91,1975,3,67,Iceland_Fljótavík_1975,ID3-67
Iceland,Fljótavík,66.45,-22.91,1975,3,68,Iceland_Fljótavík_1975,ID3-68
Iceland,Fljótavík,66.45,-22.91,1975,3,69,Iceland_Fljótavík_1975,ID3-69
Iceland,Fljótavík,66.45,-22.91,1975,3,70,Iceland_Fljótavík_1975,ID3-70
Iceland,Fljótavík,66.45,-22.91,1975,3,71,Iceland_Fljótavík_1975,ID3-71
Iceland,Fljótavík,66.45,-22.91,1975,3,72,Iceland_Fljótavík_1975,ID3-72
Iceland,Fljótavík,66.45,-22.91,1975,3,73,Iceland_Fljótavík_1975,ID3-73
Iceland,Fljótavík,66.45,-22.91,1975,3,74,Iceland_Fljótavík_1975,ID3-74
Iceland,Fljótavík,66.45,-22.91,1975,3,75,Iceland_Fljótavík_1975,ID3-75
Iceland,Fljótavík,66.45,-22.91,1975,3,76,Iceland_Fljótavík_1975,ID3-76
Iceland,Fljótavík,66.45,-22.91,1975,3,77,Iceland_Fljótavík_1975,ID3-77
Iceland,Fljótavík,66.45,-22.91,1975,3,78,Iceland_Fljótavík_1975,ID3-78
